Name,Genre,GenreCluster
Ansoo Ban Gaye Phool,"Drama, Family",1
Antardwand,"Crime, Drama",1
Antarnaad,Drama,1
Antenna,Drama,1
Anth,Action,1
Anthony Kaun Hai?,"Mystery, Thriller",1
Anubhav,Drama,1
Anubhav: An Experience,Crime,1
Anupama,"Drama, Romance",5
Anuraag,Drama,1
Anuradha,"Drama, Romance",5
Anuranan,"Drama, Romance",5
Anurodh,"Drama, Family",1
Anwar,"Drama, Romance, Thriller",5
Any Body Can Dance 2,"Biography, Drama, Music",1
Apaatkaal,Action,1
Apaharan,"Action, Crime, Drama",1
Apartment: Rent at Your Own Risk,"Drama, Mystery, Thriller",1
Apna Asmaan,"Drama, Sci-Fi",1
Apna Haath Jagannath,Comedy,1
Apna Sapna Money Money,"Comedy, Musical, Romance",3
Apnapan,"Drama, Romance",5
Apne,"Drama, Sport",7
Apne Dam Par,"Action, Drama",1
Apne Dushman,"Crime, Drama, Mystery",1
Apne Paraye,"Drama, Family, Comedy",1
Apne Rang Hazaar,"Drama, Romance",5
Apradh,"Action, Thriller, Romance",5
Apradhi,Drama,1
Apradhi Kaun?,Mystery,1
April Fool,"Comedy, Romance, Thriller",5
Aradhana,"Drama, Musical, Romance",3
Aranyaka,Drama,1
Ardh Satya,"Crime, Drama",1
Arjun,"Action, Crime, Drama",1
Arjun Devaa,"Action, Crime, Musical",3
Arjun Pandit,"Action, Crime, Romance",5
Arjun Patiala,"Action, Comedy",1
Arjun: The Warrior Prince,"Animation, Action, Adventure",4
Armaan,"Drama, Family",1
Armaan,"Drama, Family, Romance",5
Army,"Action, Drama",1
Arohan,"Drama, Family, Music",1
Around the World,"Comedy, Romance",5
Arpan,"Drama, Romance",5
Arth,"Drama, Romance",5
Article 15,"Crime, Drama, Mystery",1
Arvind Desai Ki Ajeeb Dastaan,Drama,1
Aryan,"Action, Drama",1
Aryan: Unbreakable,"Action, Drama, Sport",7
Arzoo,"Musical, Romance",3
Arzoo,"Drama, Musical, Romance",3
Asambhav,"Action, Adventure, Drama",4
Asana Travelogue,"Documentary, History",1
Ascharyachakit!,"Drama, Romance",5
Asha Jyoti,"Drama, Family, Romance",5
Ashaant,"Action, Thriller",1
Ashiana,"Drama, Romance",5
Ashley,Thriller,1
Ashok Chakra: Tribute to Real Heroes,Action,1
Ashok Vatika,Drama,1
Ashoka the Great,"Action, Biography, Drama",1
Asli Naqli,Drama,1
Asli-Naqli,"Drama, Musical, Romance",3
Astitva,Drama,1
Astounding Courage in Distress,Family,1
Ata Pata Lapatta,"Comedy, Musical",3
Atal Faisla,Drama,1
Ateet,Thriller,1
Athbhutha Dweepu,"Action, Adventure, Comedy",4
Athidhi,Action,1
Atishbaz,"Crime, Drama",1
Atithee,"Drama, Romance",5
Atithi Kab Aoge Shhamshan,Comedy,1
Atithi Tum Kab Jaoge?,Comedy,1
Atkan Chatkan,"Drama, Musical",3
Attahaasa,"Biography, Crime, Thriller",1
Aulad,"Comedy, Drama",1
Aulad Ke Dushman,Drama,1
Aunty No. 1,"Comedy, Drama, Romance",5
Aur Kaun?,"Horror, Mystery, Thriller",0
Aur Pappu Pass Ho Gaya,Comedy,1
Aurangzeb,"Action, Drama, Thriller",1
Aurat,Drama,1
Aurat,"Comedy, Drama",1
Aurat Teri Yehi Kahani,Drama,1
Auto Driver,Romance,5
Autohead,"Crime, Drama",1
Autumn,Drama,1
Auzaar,"Action, Drama, Musical",3
Avalude Ravukal,Drama,1
Avam,"Adventure, Mystery, Thriller",4
Avinash,"Action, Crime, Drama",1
Avsar,"Drama, Romance",5
Avtaar,Drama,1
