Actor 3,MeanRating
Hrithik Roshan,6.099999999999999
Hritu Dudani,5.9
Hukum Singh,4.2
Hussein Khan,6.7
Hyder Kazmi,4.699999999999999
I.A. Hafizji,6.2
I.S. Johar,6.275
Iftekhar,6.323076923076924
Ihana Dhillon,3.2999999999999994
Ila Arun,7.333333333333333
Ileana D'Cruz,5.8999999999999995
Imran Khan,4.8
Imtiaz,6.699999999999999
Inaamulhaq,6.2
Inayat Sharma,4.4
Inder Kumar,4.4714285714285715
Inder Thakur,7.9
Indira,6.3
Indraja,3.5
Indraneil Sengupta,8.1
Ingrid Lewis,7.4
Ipshita Chakraborty Singh,7.0
Iqbal Khan,3.6
Ira Dubey,7.1
Irfan Kamal,5.6
Irrfan Khan,6.15
Isha Koppikar,4.9363636363636365
Isha Sharvani,3.8
Ishan Chavan,6.5
Ishita Chauhan,3.7
Ishita Ganguly,4.5
Ishita Sharma,4.2
Ishrat Ali,4.175
Ishwari Bose-Bhattacharya,5.9
Ishwarlal,5.800000000000001
Istiyak Khan,7.6
Izeqiel McCoy,7.1
J.D. Chakravarthi,4.7
J.V. Somayajulu,6.099999999999999
Jabeen Jalil,7.400000000000001
Jack Gaud,5.575
Jackie Shroff,5.602325581395349
Jackky Bhagnani,4.6
Jacqueline Fernandez,4.8875
Jagatpal Jain,7.2
Jagdeep,6.328571428571428
Jagdev,7.0
Jagdish Kanwal,6.099999999999999
Jagdish Sethi,7.099999999999999
Jagrat Desai,5.3
Jahmil X.T. Qubeka,5.5
Jai Ganesh,6.900000000000001
Jai Nagra,4.8
Jaideep Ahlawat,4.828571428571428
James Morcan,7.400000000000001
Jamie Alter,6.6
Jamuna,6.636363636363637
Janardhan Mishra,6.4
Janardhan Parab,6.7
Janhvi Kapoor,4.3
Janki Bisht,5.4
Jankidas,7.08
Japji Khaira,7.0
Jas Arora,6.6
Jashan Singh Kohli,6.8
Jason Matthew Ethier,5.0
Jason Schwartzman,7.2
Jaspal Bhatti,4.8
Jasper,4.5
Jaswinder Kaur,7.1
Jaswir Kaur,5.3
Jatin Goswami,6.900000000000001
Jatin Sarna,7.2
Javed Hyder,5.5
Javed Jaffrey,5.1482758620689655
Javed Khan,3.966666666666667
Javed Rizvi,7.0
Javed Sheikh,4.5
Jawahar Kaul,7.4
Jay Bhanushali,4.0
Jay Bhatt,5.4
Jay Mehta,4.8
Jaya Bachchan,6.945454545454546
Jaya Kausalya,6.9
Jaya Prada,5.432258064516129
Jaya Rekha,3.4
Jayabharati,6.599999999999999
Jayalalitha J,7.0
Jayamalini,6.3
Jayan,6.6
Jayant,6.008333333333333
Jayanta Das,7.3
Jayaprakash,4.6
Jayashree,6.3
Jayati Bhatia,5.866666666666667
Jayesh Shah,2.7000000000000006
Jayshree Gadkar,6.166666666666667
Jayshree T.,5.414285714285714
Jeet Goswami,4.8
Jeetendra,5.8875
Jeetendra Doshi,7.9
Jeevan,6.381818181818182
Jeevan Kala,5.2
Jeff Doucette,2.9
Jennifer Antony,7.2
Jennifer Winget,5.4
Jesse Randhawa,4.45
Jezebel,4.8
Jhanak Shukla,6.3
Jhanvi Desai,3.5
Jharana Bajracharya,3.6
Jhilmil Hazrika,5.1
Jiah Khan,7.3
Jijy Philip,5.4
Jillo,4.62
Jimmy Sharma,3.5
Jimmy Sheirgill,6.825
Jimpa Bhutia,7.0
Jitendra Joshi,9.4
Jitin Gulati,4.6
Jogi Brothers,4.6
Jogi Mallang,8.4
John Abraham,5.257142857142857
Johnny Lever,5.822222222222222
Johnny Walker,6.541463414634146
Johny Fever,5.0
Joy Fernandes,6.56
Joy Mukherjee,6.5
Joy Sengupta,6.36
Joydip Mukhopadhyay,7.1
Jugal Hansraj,6.0
Juhi Chawla,5.613157894736842
Julia Bliss,2.3
Julian Carey,3.1
Junior Jagdeep,2.7
Junior Johnny Lever,8.5
Jyoti,5.1
Jyoti Patel,5.1
Jyoti Rana,4.0
Jyotirmayi,8.2
K.K. Goswami,4.2
K.K. Raina,7.6
K.N. Singh,6.134782608695652
Kaajal Kiran,6.7
Kaamya Sharma,5.900000000000001
Kabir Bedi,5.1045454545454545
Kader Khan,5.357575757575757
Kajal Chakraborty,3.7
Kajal Jain,5.7
Kajol,5.5
Kal Parekh,5.7
Kal Penn,7.2
Kalabhavan Mani,6.099999999999999
Kalki Koechlin,6.62
Kallirroi Tziafeta,4.6
Kallol Banerjee,5.3
Kalpana Bora,5.400000000000001
Kalpana Iyer,6.68
Kalpana Kartik,7.325
Kalpana Pandit,5.625
Kaluram Dhobale,4.6
Kamal Haasan,7.26
Kamal Kapoor,6.3
Kamal Sadanah,4.0200000000000005
Kamal Swaroop,6.7
Kamini Kaushal,6.0249999999999995
Kamna,4.1
Kamna Singh Chandel,6.0
Kamran,5.0
Kamta Prasad,7.3
Kanan Kaushal,6.5
Kanchan,5.4
Kanchan Rawal,4.8
Kangana Ranaut,5.041666666666667
Kanhaiyalal Chaturvedi,6.92
Kanishka Singh Deo,5.5
Kanksha,4.1
Kannu Gill,5.95
Kanwaljeet Matharu,3.6
Kanwaljit Singh,5.4
Kapil Dev,5.599999999999999
Kapil Jhaveri,2.7999999999999994
Kapil Kaustubh Sharma,6.3
Karan,3.8
Karan Aanand,2.3
Karan Hukka,3.6
Karan Johar,5.599999999999999
Karan Kapoor,6.0
Karan Patel,7.8
Karan Sharma,4.6
Karan Veer Mehra,5.0
Karann Nathh,4.4
Karanvir Sharma,6.2
Kareena Kapoor,5.741860465116279
Karim Hajee,2.8
Karishma,6.3
Karishma Jhalani,7.2
Karisma Kapoor,4.4437500000000005
Karl Maass,6.0
Kartar Cheema,5.5
Kartik Krishnan,5.7
Kashish,6.6
Kathana,6.0
Katrina Kaif,5.218181818181818
Kaustav Ghosh,5.7
Kavi Shastri,5.2
Kavita Kiran,6.900000000000001
Kay Kay Menon,5.142857142857143
Keeya Khanna,3.8
Keshavrao Date,6.6
Ketan Kava,8.3
Ketki Dave,5.1
Kevin Mukherji,7.0
Khushboo Moharkar,5.7
Khushboo Upadhyay,7.033333333333334
Khushi Mukherjee,5.0
Kiara Advani,3.3200000000000003
Kim,6.400000000000001
Kim Sharma,4.7625
Kimi Katkar,5.266666666666667
Kimti Anand,4.9
Kiran,4.3
